Cap1,Cap2,Time,Distance
3310,449,1375,2.59713376729521
3310,255,1375,2.64429405879906
100,116,1375,2.99450564502807
100,449,1375,0.31802101946884
100,255,1375,0.519107241953915
116,449,1375,2.80639659034161
116,255,1375,2.88155373920321
449,255,1375,0.257053099621459
436,3008,1376,2.19679943956748
436,3310,1376,1.2965131255024
436,100,1376,1.48899138507548
436,116,1376,1.92565672148491
436,449,1376,1.21476682368305
436,255,1376,1.315815485241
3008,3310,1376,1.95744259187441
3008,100,1376,3.27439985906318
3008,116,1376,0.702946761486245
3008,449,1376,3.09683580029116
3008,255,1376,3.11702749730637
3310,100,1376,2.75937753341746
3310,116,1376,2.08700201269668
3310,449,1376,2.50062063020783
3310,255,1376,2.60682947340251
100,116,1376,2.7473994158784
100,449,1376,0.378374188131273
100,255,1376,0.500572620255044
116,449,1376,2.6244444803236
116,255,1376,2.64540221127147
449,255,1376,0.236224061350659
436,3008,1377,2.09466153469457
436,3310,1377,1.27592189188837
436,100,1377,1.41159204594989
436,116,1377,1.58998266977977
436,449,1377,1.17716054357127
436,255,1377,1.2789798498057
3008,3310,1377,2.18469933652871
3008,100,1377,2.87331391543597
3008,116,1377,0.641445124238231
3008,449,1377,2.86697471992517
3008,255,1377,2.86367522713697
3310,100,1377,2.66226744770863
3310,116,1377,2.01560590657003
3310,449,1377,2.4267374438783
3310,255,1377,2.54263080758277
100,116,1377,2.23459910068204
100,449,1377,0.411108432343585
100,255,1377,0.465177459681787
116,449,1377,2.24375073013938
116,255,1377,2.23911270217222
449,255,1377,0.229795435716204
436,3008,1378,1.98801994559914
436,3310,1378,1.43713235653505
436,100,1378,1.24949752824445
436,116,1378,1.10967352509646
436,449,1378,1.06119209410738
436,255,1378,1.16956847474143
3008,3310,1378,2.27376643556457
3008,100,1378,2.60525859223782
3008,116,1378,0.945991167929173
3008,449,1378,2.64513529423657
3008,255,1378,2.74749753436996
3310,100,1378,2.66354421033874
3310,116,1378,1.84137674844123
3310,449,1378,2.46569951371127
3310,255,1378,2.56409492265185
100,116,1378,1.76864591028532
100,449,1378,0.368396343169962
100,255,1378,0.488000820691933
116,449,1378,1.74605491967922
116,255,1378,1.83686437965055
449,255,1378,0.192176663747189
436,3008,1379,1.7076879800186
436,3310,1379,1.61635133458045
436,100,1379,1.03591991050901
436,116,1379,0.927582029580134
436,449,1379,0.899481958563372
436,255,1379,0.936245644160228
3008,3310,1379,2.18623849154204
3008,100,1379,2.12283017854679
3008,116,1379,0.959028319654847
3008,449,1379,2.09237229725042
3008,255,1379,2.25250544533171
3310,100,1379,2.64370039292447
3310,116,1379,1.70212395764821
3310,449,1379,2.46925406284995
3310,255,1379,2.52926105454716
100,116,1379,1.56611052677294
100,449,1379,0.268919306603301
100,255,1379,0.346849960928353
