"","Cap1","Cap2","Time","Distance"
"47896",436,3008,2288,3.33276659526696
"47897",436,3310,2288,1.27297366457441
"47898",436,100,2288,0.635405454257359
"47899",436,116,2288,2.0544195682966
"47900",436,449,2288,0.399341180070375
"47901",436,255,2288,0.800034680435792
"47917",436,3008,2289,3.34009047795525
"47918",436,3310,2289,1.26343092798934
"47919",436,100,2289,0.641668513876129
"47920",436,116,2289,2.14303390402485
"47921",436,449,2289,0.288160158592405
"47922",436,255,2289,0.790055646837614
"47938",436,3008,2290,3.30374935981641
"47939",436,3310,2290,1.30188760259863
"47940",436,100,2290,0.605720473238275
"47941",436,116,2290,2.11525181333098
"47942",436,449,2290,0.325654044961828
"47943",436,255,2290,0.996002816462383
"47959",436,3008,2291,3.30374935981641
"47960",436,3310,2291,1.30188760259863
"47961",436,100,2291,0.605720473238275
"47962",436,116,2291,2.13615911958824
"47963",436,449,2291,0.322375537998776
"47964",436,255,2291,1.00367112163348
"47980",436,3008,2292,3.30294032741848
"47981",436,3310,2292,1.30163518187701
"47982",436,100,2292,0.601879710075028
"47983",436,116,2292,2.13393611040724
"47984",436,449,2292,0.322375537998776
"47985",436,255,2292,1.00826496537418
"48001",436,3008,2293,3.30294032741848
"48002",436,3310,2293,1.30163518187701
"48003",436,100,2293,0.601879710075028
"48004",436,116,2293,2.13393611040724
"48005",436,449,2293,0.322375537998776
"48006",436,255,2293,0.996714497938602
"48022",436,3008,2294,3.3009669258851
"48023",436,3310,2294,1.30119168833804
"48024",436,100,2294,0.541842125438767
"48025",436,116,2294,2.13393611040724
"48026",436,449,2294,0.313592583298776
"48027",436,255,2294,0.996714497938602
"48043",436,3008,2295,3.29890084126324
"48044",436,3310,2295,1.30119168833804
"48045",436,100,2295,0.494450705429773
"48046",436,116,2295,2.13393611040724
"48047",436,449,2295,0.326581489065134
"48048",436,255,2295,0.996714497938602
"48064",436,3008,2296,3.26645497236489
"48065",436,3310,2296,1.30119168833804
"48066",436,100,2296,0.459098095617919
"48067",436,116,2296,2.14505704576825
"48068",436,449,2296,0.326581489065134
"48069",436,255,2296,0.936888499929421
"48085",436,3008,2297,3.25604430192332
"48086",436,3310,2297,1.30119168833804
"48087",436,100,2297,0.47066199655379
"48088",436,116,2297,2.20473895790409
"48089",436,449,2297,0.404303457689889
"48090",436,255,2297,0.936888499929421
"48106",436,3008,2298,3.25504349035268
"48107",436,3310,2298,1.30119168833804
"48108",436,100,2298,0.455479831935509
"48109",436,116,2298,2.19694115765534
"48110",436,449,2298,0.404303457689889
"48111",436,255,2298,0.936421459386744
"48127",436,3008,2299,3.25482397878708
"48128",436,3310,2299,1.30119168833804
"48129",436,100,2299,0.455479831935509
"48130",436,116,2299,2.16295698165729
"48131",436,449,2299,0.404303457689889
"48132",436,255,2299,0.936421459386744
"48148",436,3008,2300,3.25482397878708
"48149",436,3310,2300,1.30119168833804
"48150",436,100,2300,0.455479831935509
"48151",436,116,2300,2.19106045386703
"48152",436,449,2300,0.42462952829496
"48153",436,255,2300,0.836946376597689
"48169",436,3008,2301,3.29486378390337
"48170",436,3310,2301,1.30119168833804
"48171",436,100,2301,0.455479831935509
"48172",436,116,2301,2.18335403874406
"48173",436,449,2301,0.42462952829496
"48174",436,255,2301,0.822529095047707
"48190",436,3008,2302,3.29522563908422
"48191",436,3310,2302,1.27563643837106
"48192",436,100,2302,0.440381495183437
"48193",436,116,2302,2.18335403874406
"48194",436,449,2302,0.432664846041368
"48195",436,255,2302,0.822529095047707
"48211",436,3008,2303,3.29543888252809
"48212",436,3310,2303,1.27471454612396
"48213",436,100,2303,0.421829243296384
"48214",436,116,2303,2.15410071094645
"48215",436,449,2303,0.483113603410213
"48216",436,255,2303,0.817775097321996
"48232",436,3008,2304,3.37185098926949
"48233",436,3310,2304,1.2752661335188
"48234",436,100,2304,0.425880558959904
"48235",436,116,2304,2.06860693216474
"48236",436,449,2304,0.482651142959385
"48237",436,255,2304,0.811661132369907
"48253",436,3008,2305,3.37206511720009
"48254",436,3310,2305,1.29471053884643
"48255",436,100,2305,0.451393308324348
"48256",436,116,2305,1.94959104247532
"48257",436,449,2305,0.482651142959385
"48258",436,255,2305,0.829098642261583
"48274",436,3008,2306,3.39013915245142
"48275",436,3310,2306,1.27045097807826
"48276",436,100,2306,0.45128476065562
"48277",436,116,2306,1.66050960503094
"48278",436,449,2306,0.482651142959385
"48279",436,255,2306,0.829098642261583
"48295",436,3008,2307,3.39074171140829
"48296",436,3310,2307,1.27045097807826
"48297",436,100,2307,0.486428887711246
"48298",436,116,2307,1.64947094196897
"48299",436,449,2307,0.482651142959385
"48300",436,255,2307,0.854752114826281
"48316",436,3008,2308,3.41141453813283
"48317",436,3310,2308,1.24942450848381
"48318",436,100,2308,0.504260906773468
"48319",436,116,2308,1.62057515151257
"48320",436,449,2308,0.482629301742031
"48321",436,255,2308,0.848244689284878
"48337",436,3008,2309,3.41141453813283
"48338",436,3310,2309,1.22174878911338
"48339",436,100,2309,0.498435829972124
"48340",436,116,2309,1.52263330812116
"48341",436,449,2309,0.482629301742031
"48342",436,255,2309,0.82658164714685
"48358",436,3008,2310,3.41141453813283
"48359",436,3310,2310,1.22174878911338
"48360",436,100,2310,0.482734684169265
"48361",436,116,2310,1.48448249858326
"48362",436,449,2310,0.482629301742031
"48363",436,255,2310,0.82658164714685
"48379",436,3008,2311,3.41997550890368
"48380",436,3310,2311,1.22174878911338
"48381",436,100,2311,0.490144493083417
"48382",436,116,2311,1.42158019316534
"48383",436,449,2311,0.482629301742031
"48384",436,255,2311,0.82658164714685
"48400",436,3008,2312,3.41997550890368
"48401",436,3310,2312,1.22174878911338
"48402",436,100,2312,0.503419838603923
"48403",436,116,2312,1.42048530977972
"48404",436,449,2312,0.482629301742031
"48405",436,255,2312,0.82658164714685
"48421",436,3008,2313,3.53558267243194
"48422",436,3310,2313,1.22174878911338
"48423",436,100,2313,0.503419838603923
"48424",436,116,2313,1.42048530977972
"48425",436,449,2313,0.482629301742031
"48426",436,255,2313,0.82658164714685
"48442",436,3008,2314,3.5013214577237
"48443",436,3310,2314,1.22174878911338
"48444",436,100,2314,0.503419838603923
"48445",436,116,2314,1.39463063633351
"48446",436,449,2314,0.482629301742031
"48447",436,255,2314,0.82658164714685
"48463",436,3008,2315,3.50781331627287
"48464",436,3310,2315,1.214549310197
"48465",436,100,2315,0.549704148337995
"48466",436,116,2315,1.38955467967259
"48467",436,449,2315,0.488245901672508
"48468",436,255,2315,0.792695259037166
"48484",436,3008,2316,3.50781331627287
"48485",436,3310,2316,1.27092273600719
"48486",436,100,2316,0.491031508764967
"48487",436,116,2316,1.44671949710371
"48488",436,449,2316,0.488245901672508
"48489",436,255,2316,0.792695259037166
"48505",436,3008,2317,3.50781331627287
"48506",436,3310,2317,1.33843029258157
"48507",436,100,2317,0.464769047807618
"48508",436,116,2317,1.14198087571553
"48509",436,449,2317,0.488245901672508
"48510",436,255,2317,0.792695259037166
"48526",436,3008,2318,3.50710135102784
"48527",436,3310,2318,1.4184474028317
"48528",436,100,2318,0.461929155390737
"48529",436,116,2318,1.01014612660743
"48530",436,449,2318,0.491966564819196
"48531",436,255,2318,0.68257629991086
"48547",436,3008,2319,3.47643384239846
"48548",436,3310,2319,1.43444693317669
"48549",436,100,2319,0.481624892421478
"48550",436,116,2319,0.887202048126581
"48551",436,449,2319,0.511713100086367
"48552",436,255,2319,0.64071926278207
"48568",436,3008,2320,3.38885147360636
"48569",436,3310,2320,1.43662044799592
"48570",436,100,2320,0.616643904534862
"48571",436,116,2320,0.781192917402609
"48572",436,449,2320,0.520269227708117
"48573",436,255,2320,0.608061237212174
"48589",436,3008,2321,3.4043197219803
"48590",436,3310,2321,1.45563474817689
"48591",436,100,2321,0.630469287515261
"48592",436,116,2321,0.506776406218759
"48593",436,449,2321,0.529467461134299
"48594",436,255,2321,0.584934878854048
"48610",436,3008,2322,3.39131985877711
"48611",436,3310,2322,1.4557356533382
"48612",436,100,2322,0.540990374221206
"48613",436,116,2322,0.340234247247393
"48614",436,449,2322,0.524909868453623
"48615",436,255,2322,0.59976513644926
"48631",436,3008,2323,3.43194488495314
"48632",436,3310,2323,1.41317502203372
"48633",436,100,2323,0.640610150247403
"48634",436,116,2323,0.389646783382078
"48635",436,449,2323,0.46388352999433
"48636",436,255,2323,0.655493561677001
"48652",436,3008,2324,3.44228126493536
"48653",436,3310,2324,1.40354785237269
"48654",436,100,2324,0.668816648491947
"48655",436,116,2324,0.432064940952168
"48656",436,449,2324,0.455744332164427
"48657",436,255,2324,0.719254236761939
"48673",436,3008,2325,3.40584954556363
"48674",436,3310,2325,1.38110666072538
"48675",436,100,2325,0.651190016892151
"48676",436,116,2325,0.432276378026836
"48677",436,449,2325,0.447819943504083
